Date,Generation
1998-01-01,1685.1
1998-02-01,1571.1
1998-03-01,1814.4
1998-04-01,1797.4
1998-05-01,1798.1
1998-06-01,1844.8
1998-07-01,1903.0
1998-08-01,1978.3
1998-09-01,1880.0
1998-10-01,1793.7
1998-11-01,1833.9
1998-12-01,1795.4
1999-01-01,1851.3
1999-02-01,1626.3
1999-03-01,1995.3
1999-04-01,2010.0
1999-05-01,1917.1
1999-06-01,1935.9
1999-07-01,2218.6
1999-08-01,2166.4
1999-09-01,2056.9
1999-10-01,2063.0
1999-11-01,1899.3
1999-12-01,1984.3
2000-01-01,2041.8
2000-02-01,1809.6
2000-03-01,2210.8
2000-04-01,2165.2
2000-05-01,2240.8
2000-06-01,1300.5
2000-07-01,2393.6
2000-08-01,2331.4
2000-09-01,3212.6
2000-10-01,1240.0
2000-11-01,3590.1
2000-12-01,2064.8
2001-01-01,2207.4
2001-02-01,2232.9
2001-03-01,2386.0
2001-04-01,2523.0
2001-05-01,2698.8
2001-06-01,2649.4
2001-07-01,2885.2
2001-08-01,2781.9
2001-09-01,2526.6
2001-10-01,2718.7
2001-11-01,2669.7
2001-12-01,2484.7
2002-01-01,2690.5
2002-02-01,2294.9
2002-03-01,2866.5
2002-04-01,2956.6
2002-05-01,3128.1
2002-06-01,3136.0
2002-07-01,3320.3
2002-08-01,3198.6
2002-09-01,3038.7
2002-10-01,2858.9
2002-11-01,3039.7
2002-12-01,3203.5
2003-01-01,3027.5
2003-02-01,2678.1
2003-03-01,3343.6
2003-04-01,3457.4
2003-05-01,3578.2
2003-06-01,3588.9
2003-07-01,3701.6
2003-08-01,3550.7
2003-09-01,3533.0
2003-10-01,3484.5
2003-11-01,3349.3
2003-12-01,3824.4
2004-01-01,3251.8
2004-02-01,3681.8
2004-03-01,3466.1
2004-04-01,3728.5
2004-05-01,3979.9
2004-06-01,3886.1
2004-07-01,4144.6
2004-08-01,3989.8
2004-09-01,4047.6
2004-10-01,3945.1
2004-11-01,3963.4
2004-12-01,3963.4
2005-01-01,3988.1
2005-02-01,3609.5
2005-03-01,4061.0
2005-04-01,4083.4
2005-05-01,4876.8
2005-06-01,4627.6
