Năm,Tháng,Sản lượng
1998,1,1685.1
1998,2,1571.1
1998,3,1814.4
1998,4,1797.4
1998,5,1798.1
1998,6,1844.8
1998,7,1903.0
1998,8,1978.3
1998,9,1880.0
1998,10,1793.7
1998,11,1833.9
1998,12,1795.4
1999,1,1851.3
1999,2,1626.3
1999,3,1995.3
1999,4,2010.0
1999,5,1917.1
1999,6,1935.9
1999,7,2218.6
1999,8,2166.4
1999,9,2056.9
1999,10,2063.0
1999,11,1899.3
1999,12,1984.3
2000,1,2041.8
2000,2,1809.6
2000,3,2210.8
2000,4,2165.2
2000,5,2240.8
2000,6,1300.5
2000,7,2393.6
2000,8,2331.4
2000,9,3212.6
2000,10,1240.0
2000,11,3590.1
2000,12,2064.8
2001,1,2207.4
2001,2,2232.9
2001,3,2386.0
2001,4,2523.0
2001,5,2698.8
2001,6,2649.4
2001,7,2885.2
2001,8,2781.9
2001,9,2526.6
2001,10,2718.7
2001,11,2669.7
2001,12,2484.7
2002,1,2690.5
2002,2,2294.9
2002,3,2866.5
2002,4,2956.6
2002,5,3128.1
2002,6,3136.0
2002,7,3320.3
2002,8,3198.6
2002,9,3038.7
2002,10,2858.9
2002,11,3039.7
2002,12,3203.5
2003,1,3027.5
2003,2,2678.1
2003,3,3343.6
2003,4,3457.4
2003,5,3578.2
2003,6,3588.9
2003,7,3701.6
2003,8,3550.7
2003,9,3533.0
2003,10,3484.5
2003,11,3349.3
2003,12,3824.4
2004,1,3251.8
2004,2,3681.8
2004,3,3466.1
2004,4,3728.5
2004,5,3979.9
2004,6,3886.1
2004,7,4144.6
2004,8,3989.8
2004,9,4047.6
2004,10,3945.1
2004,11,3963.4
2004,12,3963.4
2005,1,3988.1
2005,2,3609.5
2005,3,4061.0
2005,4,4083.4
2005,5,4876.8
2005,6,4627.6
2005,7,4743.0
2005,8,4483.1
2005,9,4407.6
2005,10,4474.0
2005,11,5317.4
2005,12,4648.5
2006,1,4340.5
2006,2,3852.9
2006,3,4927.0
2006,4,4959.6
2006,5,5221.2
2006,6,5102.6
2006,7,5215.5
2006,8,5180.8
2006,9,5035.8
2006,10,4964.1
2006,11,4964.8
2006,12,5285.2
2007,1,4870.0
2007,2,4523.3
2007,3,5001.7
2007,4,5986.1
2007,5,5356.8
2007,6,5895.9
2007,7,1066.2
2007,8,5300.0
2007,9,11500.0
2007,10,5800.0
2007,11,5800.0
2007,12,5700.0
2008,1,5700.0
2008,2,5500.0
2008,3,5800.0
2008,4,6100.0
2008,5,6400.0
2008,6,6700.0
2008,7,6500.0
2008,8,6500.0
2008,9,6500.0
2008,10,6400.0
2008,11,6400.0
2008,12,6500.0
2009,1,5500.0
2009,2,5600.0
2009,3,6917.0
2009,4,6819.3
2009,5,5563.7
2009,6,7200.0
2009,7,7300.0
2009,8,7410.0
2009,9,9990.0
2009,10,4200.0
2009,11,6925.7
2009,12,7282.6
2010,1,7057.597
2010,2,5813.85
2010,3,8028.553
2010,4,8279.9
2010,5,6886.4
2010,6,7550.36
2010,7,8394.0
2010,8,8070.02788
2010,9,7944.0
2010,10,7919.87
2010,11,7550.0
2010,12,8100.0
2011,1,8445.0
2011,2,6106.0
2011,3,8005.5
2011,4,8238.682
2011,5,8570.75
2011,6,8683.52
