Year,Month,Population
1998,1,75456300.0
1998,2,75551333.33
1998,3,75646366.67
1998,4,75741400.0
1998,5,75836433.33
1998,6,75931466.67
1998,7,76026500.0
1998,8,76121533.33
1998,9,76216566.67
1998,10,76311600.0
1998,11,76406633.33
1998,12,76501666.67
1999,1,76596700.0
1999,2,76682883.33
1999,3,76769066.67
1999,4,76855250.0
1999,5,76941433.33
1999,6,77027616.67
1999,7,77113800.0
1999,8,77199983.33
1999,9,77286166.67
1999,10,77372350.0
1999,11,77458533.33
1999,12,77544716.67
2000,1,77630900.0
2000,2,77713366.67
2000,3,77795833.33
2000,4,77878300.0
2000,5,77960766.67
2000,6,78043233.33
2000,7,78125700.0
2000,8,78208166.67
2000,9,78290633.33
2000,10,78373100.0
2000,11,78455566.67
2000,12,78538033.33
2001,1,78620500.0
2001,2,78696933.33
2001,3,78773366.67
2001,4,78849800.0
2001,5,78926233.33
2001,6,79002666.67
2001,7,79079100.0
2001,8,79155533.33
2001,9,79231966.67
2001,10,79308400.0
2001,11,79384833.33
2001,12,79461266.67
2002,1,79537700.0
2002,2,79615175.0
2002,3,79692650.0
2002,4,79770125.0
2002,5,79847600.0
2002,6,79925075.0
2002,7,80002550.0
2002,8,80080025.0
2002,9,80157500.0
2002,10,80234975.0
2002,11,80312450.0
2002,12,80389925.0
2003,1,80467400.0
2003,2,80548150.0
2003,3,80628900.0
2003,4,80709650.0
2003,5,80790400.0
2003,6,80871150.0
2003,7,80951900.0
2003,8,81032650.0
2003,9,81113400.0
2003,10,81194150.0
2003,11,81274900.0
2003,12,81355650.0
2004,1,81436400.0
2004,2,81516041.67
2004,3,81595683.33
2004,4,81675325.0
2004,5,81754966.67
2004,6,81834608.33
2004,7,81914250.0
2004,8,81993891.67
2004,9,82073533.33
2004,10,82153175.0
2004,11,82232816.67
2004,12,82312458.33
2005,1,82392100.0
2005,2,82468691.67
2005,3,82545283.33
2005,4,82621875.0
2005,5,82698466.67
2005,6,82775058.33
2005,7,82851650.0
2005,8,82928241.67
2005,9,83004833.33
2005,10,83081425.0
2005,11,83158016.67
2005,12,83234608.33
2006,1,83311200.0
2006,2,83386808.33
2006,3,83462416.67
2006,4,83538025.0
