Year,Month,Average Sunshine
2002,1,157.13333333333333
2002,2,145.8
2002,3,104.4
2002,4,209.6
2002,5,200.53333333333333
2002,6,182.2
2002,7,148.6
2002,8,152.93333333333334
2002,9,136.66666666666666
2002,10,164.13333333333333
2002,11,117.33333333333333
2002,12,128.6
2003,1,160.33333333333334
2003,2,158.46666666666667
2003,3,171.0
2003,4,211.86666666666667
2003,5,185.8
2003,6,201.26666666666668
2003,7,215.46666666666667
2003,8,170.0
2003,9,157.2
2003,10,144.0
2003,11,166.53333333333333
2003,12,112.6
2004,1,130.06666666666666
2004,2,149.93333333333334
2004,3,143.6
2004,4,175.73333333333332
2004,5,187.86666666666667
2004,6,180.6
2004,7,154.66666666666666
2004,8,185.33333333333334
2004,9,160.4
2004,10,156.93333333333334
2004,11,157.13333333333333
2004,12,165.66666666666666
2005,1,143.46666666666667
2005,2,148.73333333333332
2005,3,152.6
2005,4,181.66666666666666
2005,5,228.86666666666667
2005,6,167.86666666666667
2005,7,185.2
2005,8,144.46666666666667
2005,9,155.33333333333334
2005,10,135.46666666666667
2005,11,139.06666666666666
2005,12,65.6
2006,1,125.53333333333333
2006,2,127.33333333333333
2006,3,145.6
2006,4,193.66666666666666
2006,5,209.53333333333333
2006,6,204.06666666666666
2006,7,155.73333333333332
2006,8,149.26666666666668
2006,9,171.73333333333332
2006,10,172.13333333333333
2006,11,198.66666666666666
2006,12,135.06666666666666
2007,1,108.06666666666666
2007,2,176.66666666666666
2007,3,152.33333333333334
2007,4,167.06666666666666
2007,5,189.46666666666667
2007,6,208.13333333333333
2007,7,199.53333333333333
2007,8,148.53333333333333
2007,9,148.66666666666666
2007,10,117.2
2007,11,133.33333333333334
2007,12,122.4
2008,1,127.46666666666667
2008,2,86.0
2008,3,158.13333333333333
2008,4,177.93333333333334
2008,5,192.26666666666668
2008,6,168.8
2008,7,186.26666666666668
2008,8,171.2
2008,9,144.86666666666667
2008,10,131.8
2008,11,122.2
2008,12,116.66666666666667
2009,1,145.60666666666665
2009,2,160.05333333333334
2009,3,164.02666666666667
2009,4,156.7533333333333
2009,5,179.86666666666667
2009,6,195.49333333333334
2009,7,170.60666666666668
2009,8,203.80666666666667
2009,9,144.54
2009,10,156.58666666666667
2009,11,148.13333333333333
2009,12,145.88
2010,1,128.49999999999997
2010,2,157.61999999999998
2010,3,161.2
2010,4,154.0933333333333
2010,5,196.18666666666664
2010,6,195.84
2010,7,188.98666666666668
2010,8,169.5533333333333
2010,9,154.50666666666666
2010,10,131.24
2010,11,115.2
2010,12,133.22
2011,1,65.80666666666666
2011,2,141.51333333333335
2011,3,95.53333333333333
2011,4,162.33333333333334
2011,5,200.20666666666668
2011,6,173.17333333333332
2011,7,195.0066666666667
2011,8,202.08
2011,9,128.22666666666666
2011,10,129.72666666666666
2011,11,147.70666666666665
2011,12,90.15333333333334
2012,1,86.92666666666668
2012,2,127.45333333333335
2012,3,142.85333333333338
2012,4,198.81333333333333
2012,5,203.14
2012,6,151.45333333333335
2012,7,183.68
2012,8,198.4
2012,9,141.82666666666668
2012,10,169.70666666666668
2012,11,156.32666666666668
2012,12,139.11333333333332
2013,1,113.24666666666667
2013,2,144.17999999999998
2013,3,186.17333333333332
2013,4,160.17333333333332
2013,5,219.35333333333335
2013,6,179.93333333333334
2013,7,159.26666666666668
2013,8,162.82666666666668
2013,9,125.56
2013,10,150.20666666666665
2013,11,117.85333333333331
2013,12,140.39333333333332
2014,1,164.96666666666664
2014,2,153.28666666666666
2014,3,162.94
2014,4,165.42
2014,5,235.2466666666666
2014,6,162.37333333333333
2014,7,172.76666666666668
2014,8,178.61333333333334
2014,9,186.81333333333333
2014,10,168.02666666666667
2014,11,151.85333333333335
2014,12,99.22666666666666
2015,1,170.23333333333332
2015,2,152.05333333333334
2015,3,172.19333333333333
2015,4,202.92666666666668
2015,5,246.78666666666666
2015,6,210.05333333333334
2015,7,153.32666666666668
2015,8,211.02666666666664
2015,9,174.94
2015,10,188.70666666666668
2015,11,161.70666666666665
2015,12,130.56666666666666
2016,1,140.62
2016,2,148.79333333333335
2016,3,157.78666666666666
2016,4,194.45999999999998
2016,5,201.58
2016,6,213.07333333333338
2016,7,213.56666666666666
2016,8,177.14666666666665
2016,9,158.91333333333336
2016,10,147.78
2016,11,142.65333333333334
2016,12,104.07333333333334
2017,1,110.16666666666667
2017,2,136.66666666666666
2017,3,162.52666666666667
2017,4,177.11333333333334
2017,5,193.40000000000003
2017,6,192.26000000000002
2017,7,149.02
2017,8,176.02000000000004
2017,9,184.58666666666667
2017,10,122.23333333333333
2017,11,107.40666666666668
2017,12,110.35333333333332
2018,1,96.85333333333332
2018,2,136.45333333333332
2018,3,177.55999999999997
2018,4,185.92000000000002
2018,5,235.44
2018,6,154.13333333333335
2018,7,153.7466666666667
2018,8,144.79333333333332
2018,9,181.60666666666665
2018,10,188.21999999999997
2018,11,166.32666666666668
2018,12,118.64
2019,1,122.03333333333333
2019,2,188.80666666666667
2019,3,172.91333333333333
2019,4,210.49333333333334
2019,5,202.5333333333333
2019,6,206.30000000000004
2019,7,178.58
2019,8,175.2
2019,9,170.4466666666667
2019,10,184.28
2019,11,147.08666666666667
2019,12,171.72666666666663
2020,1,164.38000000000002
2020,2,158.94666666666666
2020,3,182.01999999999998
2020,4,155.4
2020,5,241.98666666666665
2020,6,218.48666666666668
2020,7,230.69333333333333
2020,8,175.18
2020,9,173.83333333333334
2020,10,105.20666666666668
2020,11,138.62
2020,12,97.34666666666666
2021,1,119.76666666666667
2021,2,166.39333333333335
2021,3,169.87333333333333
2021,4,174.08
2021,5,242.68666666666667
2021,6,203.52000000000004
2021,7,199.94666666666666
2021,8,209.34000000000003
2021,9,163.38000000000002
2021,10,114.09333333333333
2021,11,102.63333333333334
2021,12,128.60666666666665
2022,1,134.79999999999998
2022,2,103.69333333333334
2022,3,149.76666666666668
2022,4,175.06666666666666
2022,5,148.24666666666664
2022,6,204.78
2022,7,201.12
2022,8,184.36
2022,9,150.54666666666668
2022,10,153.02666666666667
2022,11,156.14000000000001
2022,12,108.17333333333335
