Year,Month,Rainfall
1998.0,1,20.8839
1998.0,2,47.1918
1998.0,3,35.0868
1998.0,4,77.234
1998.0,5,146.659
1998.0,6,247.579
1998.0,7,218.192
1998.0,8,244.635
1998.0,9,249.119
1998.0,10,169.381
1998.0,11,215.888
1998.0,12,100.497
1999.0,1,64.4466
1999.0,2,15.4733
1999.0,3,37.9691
1999.0,4,84.0535
1999.0,5,234.418
1999.0,6,219.997
1999.0,7,294.207
1999.0,8,289.914
1999.0,9,241.294
1999.0,10,255.414
1999.0,11,390.544
1999.0,12,115.409
2000.0,1,30.9587
2000.0,2,33.7771
2000.0,3,23.422
2000.0,4,98.7361
2000.0,5,202.395
2000.0,6,213.541
2000.0,7,331.229
2000.0,8,213.767
2000.0,9,227.674
2000.0,10,327.404
2000.0,11,84.2797
2000.0,12,41.7905
2001.0,1,30.8024
2001.0,2,25.0334
2001.0,3,72.9405
2001.0,4,61.0906
2001.0,5,202.449
2001.0,6,212.585
2001.0,7,350.803
2001.0,8,342.963
2001.0,9,241.42
2001.0,10,244.479
2001.0,11,234.133
2001.0,12,69.4084
2002.0,1,20.0285
2002.0,2,21.6108
2002.0,3,58.0542
2002.0,4,60.3292
2002.0,5,209.927
2002.0,6,245.751
2002.0,7,338.752
2002.0,8,297.607
2002.0,9,260.997
2002.0,10,222.83
2002.0,11,131.848
2002.0,12,244.606
2003.0,1,34.9598
2003.0,2,31.1657
2003.0,3,45.2812
2003.0,4,61.8224
2003.0,5,166.842
2003.0,6,195.692
2003.0,7,177.339
2003.0,8,331.326
2003.0,9,323.851
2003.0,10,141.691
2003.0,11,65.44
2003.0,12,25.8375
2004.0,1,63.1595
2004.0,2,34.795
2004.0,3,28.3406
2004.0,4,83.6009
2004.0,5,179.468
2004.0,6,196.401
2004.0,7,330.533
2004.0,8,240.816
2004.0,9,202.711
2004.0,10,124.673
2004.0,11,104.94
2004.0,12,29.0932
2005.0,1,17.6684
2005.0,2,17.5921
2005.0,3,46.8319
2005.0,4,58.298
2005.0,5,159.018
2005.0,6,301.711
2005.0,7,298.041
2005.0,8,302.94
2005.0,9,334.111
2005.0,10,123.213
2005.0,11,269.098
2005.0,12,90.7911
2006.0,1,19.2989
2006.0,2,27.6812
2006.0,3,49.0977
2006.0,4,95.87
2006.0,5,130.673
2006.0,6,161.968
2006.0,7,292.339
2006.0,8,262.601
2006.0,9,199.604
2006.0,10,331.972
2006.0,11,154.444
2006.0,12,26.1274
2007.0,1,22.5017
2007.0,2,24.0384
2007.0,3,37.4312
