Date,Temperature
1998-01-01,21.5527
1998-02-01,22.4171
1998-03-01,23.8282
1998-04-01,26.7089
1998-05-01,27.9538
1998-06-01,27.929
1998-07-01,27.7233
1998-08-01,27.7586
1998-09-01,27.0006
1998-10-01,25.8023
1998-11-01,23.6378
1998-12-01,21.7578
1999-01-01,20.4104
1999-02-01,21.8445
1999-03-01,23.1617
1999-04-01,25.6748
1999-05-01,25.8575
1999-06-01,27.2385
1999-07-01,27.2233
1999-08-01,27.0586
1999-09-01,26.4061
1999-10-01,25.2426
1999-11-01,22.707
1999-12-01,18.8341
2000-01-01,20.8595
2000-02-01,20.0468
2000-03-01,22.2888
2000-04-01,25.4443
2000-05-01,26.2898
2000-06-01,26.748
2000-07-01,27.2957
2000-08-01,27.5865
2000-09-01,26.3237
2000-10-01,25.0409
2000-11-01,22.2276
2000-12-01,21.8343
2001-01-01,21.5704
2001-02-01,21.4537
2001-03-01,22.4806
2001-04-01,26.5472
2001-05-01,26.4012
2001-06-01,27.0755
2001-07-01,27.4136
2001-08-01,27.301
2001-09-01,26.7575
2001-10-01,25.4637
2001-11-01,21.6265
2001-12-01,20.8035
2002-01-01,20.1471
2002-02-01,22.0605
2002-03-01,23.3405
2002-04-01,26.3616
2002-05-01,26.8793
2002-06-01,27.6931
2002-07-01,27.6522
2002-08-01,26.8419
2002-09-01,25.8749
2002-10-01,24.9864
2002-11-01,23.2328
2002-12-01,22.1441
2003-01-01,19.8417
2003-02-01,22.3942
2003-03-01,22.4349
2003-04-01,26.6682
2003-05-01,27.8025
2003-06-01,27.4849
2003-07-01,27.754
2003-08-01,27.6758
2003-09-01,26.232
2003-10-01,25.1789
2003-11-01,23.6439
2003-12-01,20.4516
2004-01-01,20.4061
2004-02-01,20.6649
2004-03-01,22.8187
2004-04-01,25.7764
2004-05-01,26.9525
2004-06-01,27.3588
2004-07-01,26.9753
2004-08-01,27.4352
2004-09-01,26.3474
2004-10-01,24.5783
2004-11-01,23.5518
2004-12-01,20.8583
2005-01-01,19.9792
2005-02-01,22.509
2005-03-01,21.8137
2005-04-01,25.8387
2005-05-01,27.6449
2005-06-01,27.9064
2005-07-01,27.6919
2005-08-01,27.3238
2005-09-01,26.9138
2005-10-01,24.3
2005-11-01,23.6483
2005-12-01,20.2844
2006-01-01,20.7224
2006-02-01,21.8758
