Năm,Địa phương,1,2,3,4,5,6,7,8,9,10,11,12
"2022","Lai Châu","145.9","124.7","168.2","194","121.4","62.8","217.8","183.8","133.6","182.8","197.9","88.9"
"2022","Sơn La","150.2","82.6","160.8","197","136.1","130.9","237.3","199.9","154.2","220.4","209.2","83"
"2022","Tuyên Quang","35.1","13.2","27.7","125.9","105.4","174.7","232.2","203.6","147.5","178.7","152.5","94.2"
"2022","Hà Nội (Láng)","39.9","30.9","41.2","121.7","91.4","169.6","174.7","145.1","118.7","163.6","120","91.4"
"2022","Bãi Cháy","52.7","31.7","61.8","116.8","96.2","136.7","195.7","156","137.5","180","143.2","115.2"
"2022","Nam Định","34.4","27.5","49.4","108.2","88.8","186.6","190.7","151.7","133.2","165","126.2","102.1"
"2022","Vinh","53.8","22.4","67.8","146.1","151.4","212.6","240.7","195.5","154","132.8","114.1","44.4"
"2022","Huế","118.3","37.2","138.7","167.2","139.5","279.7","260.8","207.2","167.4","85.2","162","47.1"
"2022","Đà Nẵng","139.6","69.6","172.7","183.5","164.9","289.9","266","223.8","183.5","127.8","166.3","55.2"
"2022","Quy Nhơn","194.6","124","241.8","230.1","246","310.8","248.9","237.3","197","150.9","157.2","88.9"
"2022","Pleiku","250.4","243.1","253.9","219.2","168.2","228.2","141.4","142","141.6","159.9","197.7","199.4"
"2022","Đà Lạt","135.5","201.2","190.3","156.2","145.2","179.6","114.3","136","120.1","142.3","160.2","185.3"
"2022","Nha Trang","216.5","135.6","213.2","195.8","230.8","267.1","186.2","228.5","180.1","140.2","158.5","98"
"2022","Vũng Tàu","264.8","242.4","266.8","253.4","194.5","266.3","183.9","209","197","163.4","173.6","202.6"
"2022","Cà Mau","190.3","169.3","192.2","210.9","143.9","176.2","126.2","146","92.8","102.4","103.5","126.9"
"2021","Lai Châu","118.6","163","195","178.7","238","104.8","123.2","157.7","186.9","107.2","102.1","167.3"
"2021","Sơn La","139.8","171.1","189.1","191.5","292.7","152.4","160.9","216.5","199.3","114.4","126.9","178.9"
"2021","Tuyên Quang","76.5","59.4","28","77.5","238","187.3","219.7","219.3","194.5","103.8","82.6","123.3"
"2021","Hà Nội (Láng)","79.2","76","22.6","71.6","197.4","169.8","207.3","163.4","134.8","88","98.7","106.6"
"2021","Bãi Cháy","82.5","126.7","30.1","31.7","155.1","184.8","212.2","126.5","148.2","116.6","122.3","136.2"
"2021","Nam Định","70.4","96","31","55.3","218.3","192.4","223.5","172.2","137.9","95.1","120.3","112.1"
"2021","Vinh","61","94.8","59.1","117.7","278.3","242.2","250.1","255.9","162","75.4","62.7","91.7"
"2021","Huế","65.4","199.4","175.8","224.8","284.9","259.1","251.7","263.3","176.5","89.8","79.9","25.8"
"2021","Đà Nẵng","66.4","186.5","206.6","229.7","313.9","251.4","261.9","265.8","180.4","126.5","100.2","58.2"
"2021","Quy Nhơn","108.4","203.9","260","260.7","312","270.5","224.1","283.6","184.4","142.1","78.9","101.9"
"2021","Pleiku","246.4","261.2","297","247.9","246","188.7","162.1","178.7","150.9","125.2","154.3","211.5"
