,Electricity Generation: Monthly: Vietnam
Region,Vietnam
Subnational,
Frequency,Monthly
Unit,GWh
Source,CEIC Data
Status,Active
Series ID,401380157
SR Code,SR197134257
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1998
Last Obs. Date,04/2024
Last Update Time,29/04/2024
Series remarks,The General Statistical Office provides year-to-date Electricity Production.
Suggestions,
Mean,10093.068654344615
Variance,48283286.61963244
Standard Deviation,6948.617604936427
Skewness,0.5121999517556861
Kurtosis,-1.0821687555780266
Coefficient Variation,0.6884544079609879
Min,1066.2
Max,24716.22589002
Median,8336.95
Sum,3189409.694772899
Subtract,-23650.02589002
No. of Obs,316
01/1998,1685.1
02/1998,1571.1
03/1998,1814.4
04/1998,1797.4
05/1998,1798.1
06/1998,1844.8
07/1998,1903
08/1998,1978.3
09/1998,1880
10/1998,1793.7
11/1998,1833.9
12/1998,1795.4
01/1999,1851.3
02/1999,1626.3
03/1999,1995.3
04/1999,2010
05/1999,1917.1
06/1999,1935.9
07/1999,2218.6
08/1999,2166.4
09/1999,2056.9
10/1999,2063
11/1999,1899.3
12/1999,1984.3
01/2000,2041.8
02/2000,1809.6
03/2000,2210.8
04/2000,2165.2
05/2000,2240.8
06/2000,1300.5
07/2000,2393.6
08/2000,2331.4
09/2000,3212.6
10/2000,1240
11/2000,3590.1
12/2000,2064.8
01/2001,2207.4
02/2001,2232.9
03/2001,2386
04/2001,2523
05/2001,2698.8
06/2001,2649.4
07/2001,2885.2
08/2001,2781.9
09/2001,2526.6
10/2001,2718.7
11/2001,2669.7
12/2001,2484.7
01/2002,2690.5
02/2002,2294.9
03/2002,2866.5
04/2002,2956.6
05/2002,3128.1
06/2002,3136
07/2002,3320.3
08/2002,3198.6
09/2002,3038.7
10/2002,2858.9
11/2002,3039.7
12/2002,3203.5
01/2003,3027.5
02/2003,2678.1
03/2003,3343.6
04/2003,3457.4
05/2003,3578.2
06/2003,3588.9
07/2003,3701.6
08/2003,3550.7
09/2003,3533
10/2003,3484.5
11/2003,3349.3
12/2003,3824.4
01/2004,3251.8
02/2004,3681.8
03/2004,3466.1
04/2004,3728.5
05/2004,3979.9
06/2004,3886.1
07/2004,4144.6
08/2004,3989.8
09/2004,4047.6
10/2004,3945.1
11/2004,3963.4
12/2004,3963.4
01/2005,3988.1
02/2005,3609.5
03/2005,4061
04/2005,4083.4
05/2005,4876.8
06/2005,4627.6
07/2005,4743
08/2005,4483.1
09/2005,4407.6
10/2005,4474
11/2005,5317.4
12/2005,4648.5
01/2006,4340.5
02/2006,3852.9
03/2006,4927
04/2006,4959.6
05/2006,5221.2
06/2006,5102.6
07/2006,5215.5
08/2006,5180.8
09/2006,5035.8
10/2006,4964.1
11/2006,4964.8
12/2006,5285.2
01/2007,4870
02/2007,4523.3
03/2007,5001.7
04/2007,5986.1
05/2007,5356.8
06/2007,5895.9
07/2007,1066.2
08/2007,5300
09/2007,11500
10/2007,5800
11/2007,5800
12/2007,5700
01/2008,5700
02/2008,5500
03/2008,5800
04/2008,6100
05/2008,6400
06/2008,6700
07/2008,6500
08/2008,6500
09/2008,6500
10/2008,6400
11/2008,6400
12/2008,6500
01/2009,5500
02/2009,5600
03/2009,6917
04/2009,6819.3
05/2009,5563.7
06/2009,7200
07/2009,7300
08/2009,7410
09/2009,9990
10/2009,4200
11/2009,6925.7
12/2009,7282.6
01/2010,7057.597
02/2010,5813.85
03/2010,8028.553
04/2010,8279.9
05/2010,6886.4
06/2010,7550.36
07/2010,8394
08/2010,8070.02788
09/2010,7944
10/2010,7919.87
11/2010,7550
12/2010,8100
01/2011,8445
02/2011,6106
03/2011,8005.5
04/2011,8238.682
05/2011,8570.75
06/2011,8683.52
07/2011,8786.51
08/2011,9205.276
09/2011,8781.05
10/2011,8559.476
11/2011,8584.4068
12/2011,9342.761
01/2012,7900
02/2012,8516.68
03/2012,9424.32
04/2012,9500
05/2012,9836.427
06/2012,9906.804
07/2012,10309.812
08/2012,10488.8588
09/2012,9500
10/2012,10158.2542
11/2012,9610
12/2012,9690
01/2013,9874.25
02/2013,7825.75
03/2013,10300
04/2013,10200
05/2013,10810.4881
06/2013,10821.7526
07/2013,11067.7593
08/2013,10900
09/2013,10824.65148
10/2013,10775.34852
11/2013,10484.65148
12/2013,10733
01/2014,10022.77
02/2014,8977.23
03/2014,11500
04/2014,11800
05/2014,12300
06/2014,12377.056
07/2014,12442.912
08/2014,12780.032
09/2014,11547.168
10/2014,12266.67
11/2014,12886.162
12/2014,11300
01/2015,12025.792
02/2015,9374.208
03/2015,13100
04/2015,12500
05/2015,14400
06/2015,15200
07/2015,14300
08/2015,13100
09/2015,13600
10/2015,13600
11/2015,13600
12/2015,12800
01/2016,13600
02/2016,10900
03/2016,14100
04/2016,14500
05/2016,15700
06/2016,14700
07/2016,16600
08/2016,15800
09/2016,14800
10/2016,15500
11/2016,14500
12/2016,14800
01/2017,13400
02/2017,12700
03/2017,15800
04/2017,15500
05/2017,15900
06/2017,17100
07/2017,16900
08/2017,17600
09/2017,16700
10/2017,17100
11/2017,15500
12/2017,15900
01/2018,16300
02/2018,12800
03/2018,17100
04/2018,17095.688
05/2018,18104.312
06/2018,18300
07/2018,19332.8479579
08/2018,18739.608
09/2018,17920.0063
10/2018,18047.2975105
11/2018,17600.263
12/2018,17946.52970396
01/2019,17618.01
02/2019,13869.488
03/2019,18773.49
04/2019,19307.266
05/2019,20004.45
06/2019,20382.205
07/2019,21399.91826978
08/2019,20527.17273022
09/2019,19431.876
10/2019,19200.378
11/2019,18396.908
12/2019,18510.09
01/2020,16579.636
02/2020,17354.353
03/2020,19911.17716
04/2020,17527.008
05/2020,20231.71
06/2020,21346.76394
07/2020,22205.15
08/2020,20900.62398689
09/2020,20710.37001311
10/2020,19678.07
11/2020,18932.688
12/2020,19112.934
01/2021,19171.1639226
02/2021,15119.219
03/2021,21309.07
04/2021,21229.0440612
05/2021,22924.53738182
06/2021,22930.38554
07/2021,22289.2841107
08/2021,20830.8189
09/2021,18495.5965
10/2021,19902.122
11/2021,19968.1324
12/2021,20607.477
01/2022,20017.397352
02/2022,17751.136
03/2022,22448.705
04/2022,22066
05/2022,23113.0666
06/2022,23782.0518
07/2022,23744.188
08/2022,23328.6495043
09/2022,21598.01102446
10/2022,20972.99123879
11/2022,20504.23
12/2022,20648.624
01/2023,17400
02/2023,19199.61841443
03/2023,22232.91288156
04/2023,22574.232
05/2023,23868.86561155
06/2023,22983.302
07/2023,24683.88061302
08/2023,24636.07857308
09/2023,22421.3398983
10/2023,22730.29303224
11/2023,21922.77339536
12/2023,22022.56115632
01/2024,22710.05945921
02/2024,18710.8394004
03/2024,24323.22537918
04/2024,24716.22589002
