Date,Population,Sunshine (Hours),Rainfall (mm),Temperature (C),Humidity (%),Electricity Generation (GWh)
2002-01-01,79537700.0,157.13333333333333,20.0285,20.1471,81.13333333333334,2690.5
2002-02-01,79615175.0,145.8,21.6108,22.0605,81.73333333333333,2294.9
2002-03-01,79692650.0,104.4,58.0542,23.3405,80.86666666666666,2866.5
2002-04-01,79770125.0,209.6,60.3292,26.3616,79.6,2956.6
2002-05-01,79847600.0,200.53333333333333,209.927,26.8793,80.4,3128.1
2002-06-01,79925075.0,182.2,245.751,27.6931,82.06666666666666,3136.0
2002-07-01,80002550.0,148.6,338.752,27.6522,80.66666666666667,3320.3
2002-08-01,80080025.0,152.93333333333334,297.607,26.8419,83.93333333333334,3198.6
2002-09-01,80157500.0,136.66666666666666,260.997,25.8749,83.93333333333334,3038.7
2002-10-01,80234975.0,164.13333333333333,222.83,24.9864,84.06666666666666,2858.9
2002-11-01,80312450.0,117.33333333333331,131.848,23.2328,84.53333333333333,3039.7
2002-12-01,80389925.0,128.6,244.606,22.1441,84.93333333333334,3203.5
2003-01-01,80467400.0,160.33333333333334,34.9598,19.8417,80.8,3027.5
2003-02-01,80548150.0,158.46666666666667,31.1657,22.3942,82.13333333333334,2678.1
2003-03-01,80628900.0,171.0,45.2812,22.4349,80.0,3343.6
2003-04-01,80709650.0,211.86666666666667,61.8224,26.6682,79.73333333333333,3457.4
2003-05-01,80790400.0,185.8,166.842,27.8025,81.8,3578.2
2003-06-01,80871150.0,201.26666666666668,195.692,27.4849,79.4,3588.9
2003-07-01,80951900.0,215.46666666666667,177.339,27.754,80.73333333333333,3701.6
2003-08-01,81032650.0,170.0,331.326,27.6758,83.0,3550.7
2003-09-01,81113400.0,157.2,323.851,26.232,84.2,3533.0
2003-10-01,81194150.0,144.0,141.691,25.1789,82.93333333333334,3484.5
2003-11-01,81274900.0,166.53333333333333,65.44,23.6439,80.53333333333333,3349.3
2003-12-01,81355650.0,112.6,25.8375,20.4516,79.06666666666666,3824.4
2004-01-01,81436400.0,130.06666666666666,63.1595,20.4061,81.86666666666666,3251.8
2004-02-01,81516041.67,149.93333333333334,34.795,20.6649,81.4,3681.8
2004-03-01,81595683.33,143.6,28.3406,22.8187,81.93333333333334,3466.1
2004-04-01,81675325.0,175.73333333333332,83.6009,25.7764,83.33333333333333,3728.5
2004-05-01,81754966.67,187.86666666666667,179.468,26.9525,81.2,3979.9
2004-06-01,81834608.33,180.6,196.401,27.3588,80.2,3886.1
2004-07-01,81914250.0,154.66666666666666,330.533,26.9753,82.4,4144.6
2004-08-01,81993891.67,185.3333333333333,240.816,27.4352,83.26666666666667,3989.8
2004-09-01,82073533.33,160.4,202.711,26.3474,83.46666666666667,4047.6
2004-10-01,82153175.0,156.93333333333334,124.673,24.5783,79.66666666666667,3945.1
2004-11-01,82232816.67,157.13333333333333,104.94,23.5518,81.93333333333334,3963.4
2004-12-01,82312458.33,165.66666666666666,29.0932,20.8583,80.0,3963.4
2005-01-01,82392100.0,143.46666666666667,17.6684,19.9792,80.8,3988.1
2005-02-01,82468691.67,148.73333333333332,17.5921,22.509,82.26666666666667,3609.5
2005-03-01,82545283.33,152.6,46.8319,21.8137,81.6,4061.0
2005-04-01,82621875.0,181.66666666666663,58.298,25.8387,81.2,4083.4
2005-05-01,82698466.67,228.86666666666667,159.018,27.6449,78.6,4876.8
2005-06-01,82775058.33,167.86666666666667,301.711,27.9064,79.0,4627.6
2005-07-01,82851650.0,185.2,298.041,27.6919,81.46666666666667,4743.0
2005-08-01,82928241.67,144.46666666666667,302.94,27.3238,83.2,4483.1
2005-09-01,83004833.33,155.33333333333334,334.111,26.9138,83.53333333333333,4407.6
2005-10-01,83081425.0,135.46666666666667,123.213,24.3,83.4,4474.0
2005-11-01,83158016.67,139.06666666666666,269.098,23.6483,83.73333333333333,5317.4
2005-12-01,83234608.33,65.6,90.7911,20.2844,82.13333333333334,4648.5
2006-01-01,83311200.0,125.53333333333332,19.2989,20.7224,80.86666666666666,4340.5
2006-02-01,83386808.33,127.33333333333331,27.6812,21.8758,82.0,3852.9
2006-03-01,83462416.67,145.6,49.0977,22.6725,82.26666666666667,4927.0
2006-04-01,83538025.0,193.66666666666663,95.87,25.8928,79.8,4959.6
2006-05-01,83613633.33,209.53333333333333,130.673,26.5647,79.26666666666667,5221.2
2006-06-01,83689241.67,204.06666666666663,161.968,27.5302,79.93333333333334,5102.6
2006-07-01,83764850.0,155.73333333333332,292.339,27.6337,80.46666666666667,5215.5
2006-08-01,83840458.33,149.26666666666668,262.601,26.93,84.53333333333333,5180.8
2006-09-01,83916066.67,171.73333333333332,199.604,26.3518,81.6,5035.8
2006-10-01,83991675.0,172.13333333333333,331.972,25.732,83.53333333333333,4964.1
2006-11-01,84067283.33,198.66666666666663,154.444,24.4112,81.0,4964.8
2006-12-01,84142891.67,135.06666666666666,26.1274,21.217,79.13333333333334,5285.2
2007-01-01,84218500.0,108.06666666666666,22.5017,19.5742,78.8,4870.0
2007-02-01,84293516.67,176.66666666666666,24.0384,22.3902,79.33333333333333,4523.3
2007-03-01,84368533.33,152.33333333333334,37.4312,23.3527,82.73333333333333,5001.7
2007-04-01,84443550.0,167.06666666666666,79.6929,24.9302,80.0,5986.1
2007-05-01,84518566.67,189.46666666666667,157.212,26.3317,80.8,5356.8
2007-06-01,84593583.33,208.13333333333333,303.573,27.7517,79.86666666666666,5895.9
2007-07-01,84668600.0,199.53333333333333,237.151,27.5326,80.93333333333334,1066.2
2007-08-01,84743616.67,148.53333333333333,275.663,26.721,82.93333333333334,5300.0
2007-09-01,84818633.33,148.66666666666666,237.357,26.0802,83.6,11500.0
2007-10-01,84893650.0,117.2,371.163,24.7519,84.46666666666667,5800.0
2007-11-01,84968666.67,133.33333333333334,140.922,21.5031,80.46666666666667,5800.0
2007-12-01,85043683.33,122.4,33.6849,22.0848,82.33333333333333,5700.0
2008-01-01,85118700.0,127.46666666666668,26.5981,19.408,82.2,5700.0
2008-02-01,85194225.0,86.0,29.5154,18.03,79.26666666666667,5500.0
2008-03-01,85269750.0,158.13333333333333,43.185,22.0917,81.6,5800.0
2008-04-01,85345275.0,177.93333333333334,84.5471,25.7844,81.73333333333333,6100.0
2008-05-01,85420800.0,192.26666666666668,155.263,26.1936,81.8,6400.0
2008-06-01,85496325.0,168.8,248.361,26.7034,82.2,6700.0
2008-07-01,85571850.0,186.26666666666668,275.541,27.2563,81.06666666666666,6500.0
2008-08-01,85647375.0,171.2,287.986,26.9459,83.06666666666666,6500.0
2008-09-01,85722900.0,144.86666666666667,267.792,26.5736,84.13333333333334,6500.0
2008-10-01,85798425.0,131.8,300.932,25.766,85.53333333333333,6400.0
2008-11-01,85873950.0,122.2,212.103,22.2886,82.93333333333334,6400.0
2008-12-01,85949475.0,116.66666666666669,81.8229,20.3691,81.66666666666667,6500.0
2009-01-01,86025000.0,145.60666666666663,13.3308,18.5874,78.33333333333333,5500.0
2009-02-01,86111858.33,160.05333333333334,14.991,23.3572,81.53333333333333,5600.0
2009-03-01,86198716.67,164.02666666666667,61.4003,22.7104,80.33333333333333,6917.0
2009-04-01,86285575.0,156.7533333333333,88.3187,25.3695,82.26666666666667,6819.3
2009-05-01,86372433.33,179.86666666666667,198.963,26.5018,83.4,5563.7
2009-06-01,86459291.67,195.4933333333333,197.629,27.4658,78.6,7200.0
2009-07-01,86546150.0,170.60666666666668,264.549,27.4224,81.46666666666667,7300.0
2009-08-01,86633008.33,203.80666666666667,209.888,27.8058,81.73333333333333,7410.0
2009-09-01,86719866.67,144.54,276.696,26.9888,83.86666666666666,9990.0
2009-10-01,86806725.0,156.58666666666667,226.089,25.8003,83.06666666666666,4200.0
2009-11-01,86893583.33,148.13333333333333,110.196,22.9344,78.66666666666667,6925.7
2009-12-01,86980441.67,145.88,69.4662,21.7524,80.46666666666667,7282.6
2010-01-01,87067300.0,128.49999999999997,119.347,21.2829,81.46666666666667,7057.597
2010-02-01,87157175.0,157.61999999999998,24.6918,23.0028,80.2,5813.85
2010-03-01,87247050.0,161.2,17.6805,23.3828,78.0,8028.553
2010-04-01,87336925.0,154.0933333333333,76.4054,25.9156,82.53333333333333,8279.9
2010-05-01,87426800.0,196.18666666666664,129.848,27.9955,81.33333333333333,6886.4
2010-06-01,87516675.0,195.84,170.972,27.6409,80.4,7550.36
2010-07-01,87606550.0,188.98666666666668,231.421,27.6693,82.2,8394.0
2010-08-01,87696425.0,169.5533333333333,258.267,27.181,85.0,8070.02788
2010-09-01,87786300.0,154.50666666666666,208.884,26.975,85.13333333333334,7944.0
2010-10-01,87876175.0,131.24,210.198,24.6371,82.6,7919.87
2010-11-01,87966050.0,115.2,105.954,22.7269,80.73333333333333,7550.0
2010-12-01,88055925.0,133.22,70.3632,21.5358,81.13333333333334,8100.0
2011-01-01,88145800.0,65.80666666666666,28.6263,18.0561,80.06666666666666,8445.0
2011-02-01,88233891.67,141.51333333333335,20.9222,21.121,82.46666666666667,6106.0
2011-03-01,88321983.33,95.53333333333332,59.1605,19.6389,80.93333333333334,8005.5
2011-04-01,88410075.0,162.33333333333334,62.3041,24.5324,80.46666666666667,8238.682
2011-05-01,88498166.67,200.20666666666668,155.895,26.5126,80.0,8570.75
2011-06-01,88586258.33,173.17333333333332,276.433,27.3648,80.33333333333333,8683.52
2011-07-01,88674350.0,195.0066666666667,253.884,27.6562,80.2,8786.51
2011-08-01,88762441.67,202.08,258.946,27.2079,81.26666666666667,9205.276
2011-09-01,88850533.33,128.22666666666666,338.789,26.2988,83.86666666666666,8781.05
2011-10-01,88938625.0,129.72666666666666,308.646,24.546,83.46666666666667,8559.476
2011-11-01,89026716.67,147.70666666666665,206.133,23.7394,81.93333333333334,8584.4068
2011-12-01,89114808.33,90.15333333333334,65.3421,19.9897,78.33333333333333,9342.761
2012-01-01,89202900.0,86.92666666666668,63.5504,19.9376,84.26666666666667,7900.0
2012-02-01,89285275.0,127.45333333333336,26.6722,21.2647,83.0,8516.68
2012-03-01,89367650.0,142.85333333333338,45.582,22.66,80.6,9424.32
2012-04-01,89450025.0,198.81333333333333,59.5025,26.1824,79.8,9500.0
2012-05-01,89532400.0,203.14,232.993,27.5174,79.53333333333333,9836.427
2012-06-01,89614775.0,151.45333333333335,234.206,27.4194,78.13333333333334,9906.804
2012-07-01,89697150.0,183.68,277.347,27.4906,80.26666666666667,10309.812
2012-08-01,89779525.0,198.4,298.421,27.4666,79.73333333333333,10488.8588
2012-09-01,89861900.0,141.82666666666668,212.025,26.4697,83.73333333333333,9500.0
2012-10-01,89944275.0,169.70666666666668,269.287,25.7243,80.73333333333333,10158.2542
2012-11-01,90026650.0,156.32666666666668,397.858,24.3128,83.33333333333333,9610.0
2012-12-01,90109025.0,139.11333333333332,54.3562,22.4016,80.93333333333334,9690.0
2013-01-01,90191400.0,113.24666666666668,61.0331,20.2787,82.2,9874.25
2013-02-01,90275766.67,144.17999999999998,45.2822,22.9052,82.06666666666666,7825.75
2013-03-01,90360133.33,186.1733333333333,58.6912,23.9591,79.4,10300.0
2013-04-01,90444500.0,160.17333333333332,72.3164,25.9443,81.33333333333333,10200.0
2013-05-01,90528866.67,219.35333333333327,150.656,27.2649,79.93333333333334,10810.4881
2013-06-01,90613233.33,179.93333333333334,182.905,27.3868,79.33333333333333,10821.7526
2013-07-01,90697600.0,159.26666666666668,259.541,27.2,83.73333333333333,11067.7593
2013-08-01,90781966.67,162.82666666666668,274.068,27.3971,82.4,10900.0
2013-09-01,90866333.33,125.56,283.283,25.9728,84.93333333333334,10824.65148
2013-10-01,90950700.0,150.20666666666665,240.616,24.4809,81.26666666666667,10775.34852
2013-11-01,91035066.67,117.85333333333332,177.439,23.375,82.0,10484.65148
2013-12-01,91119433.33,140.39333333333332,282.366,18.6481,77.46666666666667,10733.0
2014-01-01,91203800.0,164.96666666666664,20.1041,18.8903,77.06666666666666,10022.77
2014-02-01,91289200.0,153.28666666666666,14.8243,20.5782,80.13333333333334,8977.23
2014-03-01,91374600.0,162.94,30.491,22.9839,82.26666666666667,11500.0
2014-04-01,91460000.0,165.42,67.5097,26.1655,82.66666666666667,11800.0
2014-05-01,91545400.0,235.2466666666666,100.506,27.0155,78.46666666666667,12300.0
2014-06-01,91630800.0,162.3733333333333,232.4,27.994,79.8,12377.056
2014-07-01,91716200.0,172.76666666666668,297.145,27.3625,81.66666666666667,12442.912
2014-08-01,91801600.0,178.61333333333334,226.706,27.2949,81.73333333333333,12780.032
2014-09-01,91887000.0,186.81333333333333,272.555,26.9982,82.0,11547.168
2014-10-01,91972400.0,168.02666666666667,173.593,25.6917,81.6,12266.67
2014-11-01,92057800.0,151.85333333333335,166.37,24.0814,83.13333333333334,12886.162
2014-12-01,92143200.0,99.22666666666666,60.7189,20.3978,80.06666666666666,11300.0
2015-01-01,92228600.0,170.23333333333332,39.6747,19.9524,79.4,12025.792
2015-02-01,92313775.0,152.05333333333334,18.5884,21.5853,80.86666666666666,9374.208
2015-03-01,92398950.0,172.19333333333333,32.7659,23.5692,81.66666666666667,13100.0
2015-04-01,92484125.0,202.92666666666668,48.371,25.8273,78.6,12500.0
2015-05-01,92569300.0,246.78666666666663,106.235,28.4432,76.93333333333334,14400.0
2015-06-01,92654475.0,210.0533333333333,194.546,28.5632,78.26666666666667,15200.0
2015-07-01,92739650.0,153.32666666666668,265.695,27.455,78.8,14300.0
2015-08-01,92824825.0,211.02666666666664,279.796,27.5118,81.46666666666667,13100.0
2015-09-01,92910000.0,174.94,270.979,27.0807,83.53333333333333,13600.0
2015-10-01,92995175.0,188.70666666666668,210.218,25.3536,81.33333333333333,13600.0
2015-11-01,93080350.0,161.70666666666665,177.599,24.7644,83.46666666666667,13600.0
2015-12-01,93165525.0,130.56666666666666,93.3196,22.0768,82.6,12800.0
2016-01-01,93250700.0,140.62,74.73571428571428,20.28666666666667,84.13333333333334,13600.0
2016-02-01,93336975.0,148.79333333333335,19.62307692307693,19.126666666666665,76.53333333333333,10900.0
2016-03-01,93423250.0,157.78666666666666,19.6,22.15333333333333,80.6,14100.0
2016-04-01,93509525.0,194.46,119.57272727272726,26.01333333333333,80.66666666666667,14500.0
2016-05-01,93595800.0,201.58,159.92666666666668,27.59333333333333,79.66666666666667,15700.0
2016-06-01,93682075.0,213.07333333333332,149.57333333333332,28.26,78.46666666666667,14700.0
2016-07-01,93768350.0,213.56666666666663,216.08666666666667,27.87333333333333,80.53333333333333,16600.0
2016-08-01,93854625.0,177.14666666666665,272.76666666666665,27.64,81.73333333333333,15800.0
2016-09-01,93940900.0,158.91333333333336,343.12,26.85333333333333,83.13333333333334,14800.0
2016-10-01,94027175.0,147.78,271.02000000000004,25.90666666666667,82.93333333333334,15500.0
2016-11-01,94113450.0,142.65333333333334,203.5133333333333,23.506666666666668,82.4,14500.0
2016-12-01,94199725.0,104.07333333333334,329.9785714285714,21.446666666666665,81.06666666666666,14800.0
2017-01-01,94286000.0,110.16666666666669,98.29333333333334,20.99333333333333,82.26666666666667,13400.0
2017-02-01,94377600.0,136.66666666666666,44.99333333333333,20.85333333333333,78.66666666666667,12700.0
2017-03-01,94469200.0,162.52666666666667,62.42666666666667,22.946666666666665,81.6,15800.0
2017-04-01,94560800.0,177.11333333333334,82.77333333333333,25.07333333333333,80.8,15500.0
2017-05-01,94652400.0,193.40000000000003,152.07999999999998,26.773333333333333,81.0,15900.0
2017-06-01,94744000.0,192.26,209.2133333333333,28.05333333333333,80.0,17100.0
2017-07-01,94835600.0,149.02,349.5466666666667,27.006666666666668,83.46666666666667,16900.0
2017-08-01,94927200.0,176.02000000000004,301.26666666666665,27.36,83.4,17600.0
2017-09-01,95018800.0,184.58666666666667,230.19333333333333,27.25333333333333,83.66666666666667,16700.0
2017-10-01,95110400.0,122.23333333333332,327.76,24.91333333333333,83.46666666666667,17100.0
2017-11-01,95202000.0,107.40666666666668,311.34666666666664,22.82,83.2,15500.0
2017-12-01,95293600.0,110.35333333333332,101.71333333333334,19.9,80.0,15900.0
