Date,Population
2002-01-01,79537700.0
2002-02-01,79615175.0
2002-03-01,79692650.0
2002-04-01,79770125.0
2002-05-01,79847600.0
2002-06-01,79925075.0
2002-07-01,80002550.0
2002-08-01,80080025.0
2002-09-01,80157500.0
2002-10-01,80234975.0
2002-11-01,80312450.0
2002-12-01,80389925.0
2003-01-01,80467400.0
2003-02-01,80548150.0
2003-03-01,80628900.0
2003-04-01,80709650.0
2003-05-01,80790400.0
2003-06-01,80871150.0
2003-07-01,80951900.0
2003-08-01,81032650.0
2003-09-01,81113400.0
2003-10-01,81194150.0
2003-11-01,81274900.0
2003-12-01,81355650.0
2004-01-01,81436400.0
2004-02-01,81516041.67
2004-03-01,81595683.33
2004-04-01,81675325.0
2004-05-01,81754966.67
2004-06-01,81834608.33
2004-07-01,81914250.0
2004-08-01,81993891.67
2004-09-01,82073533.33
2004-10-01,82153175.0
2004-11-01,82232816.67
2004-12-01,82312458.33
2005-01-01,82392100.0
2005-02-01,82468691.67
2005-03-01,82545283.33
2005-04-01,82621875.0
2005-05-01,82698466.67
2005-06-01,82775058.33
2005-07-01,82851650.0
2005-08-01,82928241.67
2005-09-01,83004833.33
2005-10-01,83081425.0
2005-11-01,83158016.67
2005-12-01,83234608.33
2006-01-01,83311200.0
2006-02-01,83386808.33
2006-03-01,83462416.67
2006-04-01,83538025.0
2006-05-01,83613633.33
2006-06-01,83689241.67
2006-07-01,83764850.0
2006-08-01,83840458.33
2006-09-01,83916066.67
2006-10-01,83991675.0
2006-11-01,84067283.33
2006-12-01,84142891.67
2007-01-01,84218500.0
2007-02-01,84293516.67
2007-03-01,84368533.33
2007-04-01,84443550.0
2007-05-01,84518566.67
2007-06-01,84593583.33
2007-07-01,84668600.0
2007-08-01,84743616.67
2007-09-01,84818633.33
2007-10-01,84893650.0
2007-11-01,84968666.67
2007-12-01,85043683.33
2008-01-01,85118700.0
2008-02-01,85194225.0
2008-03-01,85269750.0
2008-04-01,85345275.0
2008-05-01,85420800.0
2008-06-01,85496325.0
2008-07-01,85571850.0
2008-08-01,85647375.0
2008-09-01,85722900.0
2008-10-01,85798425.0
2008-11-01,85873950.0
2008-12-01,85949475.0
2009-01-01,86025000.0
2009-02-01,86111858.33
2009-03-01,86198716.67
2009-04-01,86285575.0
2009-05-01,86372433.33
2009-06-01,86459291.67
2009-07-01,86546150.0
2009-08-01,86633008.33
2009-09-01,86719866.67
2009-10-01,86806725.0
2009-11-01,86893583.33
2009-12-01,86980441.67
2010-01-01,87067300.0
2010-02-01,87157175.0
2010-03-01,87247050.0
