Date,Average Sunshine
2002-01-01,157.13333333333333
2002-02-01,145.8
2002-03-01,104.4
2002-04-01,209.6
2002-05-01,200.53333333333333
2002-06-01,182.2
2002-07-01,148.6
2002-08-01,152.93333333333334
2002-09-01,136.66666666666666
2002-10-01,164.13333333333333
2002-11-01,117.33333333333331
2002-12-01,128.6
2003-01-01,160.33333333333334
2003-02-01,158.46666666666667
2003-03-01,171.0
2003-04-01,211.86666666666667
2003-05-01,185.8
2003-06-01,201.26666666666668
2003-07-01,215.46666666666667
2003-08-01,170.0
2003-09-01,157.2
2003-10-01,144.0
2003-11-01,166.53333333333333
2003-12-01,112.6
2004-01-01,130.06666666666666
2004-02-01,149.93333333333334
2004-03-01,143.6
2004-04-01,175.73333333333332
2004-05-01,187.86666666666667
2004-06-01,180.6
2004-07-01,154.66666666666666
2004-08-01,185.33333333333331
2004-09-01,160.4
2004-10-01,156.93333333333334
2004-11-01,157.13333333333333
2004-12-01,165.66666666666666
2005-01-01,143.46666666666667
2005-02-01,148.73333333333332
2005-03-01,152.6
2005-04-01,181.66666666666663
2005-05-01,228.86666666666667
2005-06-01,167.86666666666667
2005-07-01,185.2
2005-08-01,144.46666666666667
2005-09-01,155.33333333333334
2005-10-01,135.46666666666667
2005-11-01,139.06666666666666
2005-12-01,65.6
2006-01-01,125.53333333333332
2006-02-01,127.33333333333331
2006-03-01,145.6
2006-04-01,193.66666666666663
2006-05-01,209.53333333333333
2006-06-01,204.06666666666663
2006-07-01,155.73333333333332
2006-08-01,149.26666666666668
2006-09-01,171.73333333333332
2006-10-01,172.13333333333333
2006-11-01,198.66666666666663
2006-12-01,135.06666666666666
2007-01-01,108.06666666666666
2007-02-01,176.66666666666666
2007-03-01,152.33333333333334
2007-04-01,167.06666666666666
2007-05-01,189.46666666666667
2007-06-01,208.13333333333333
2007-07-01,199.53333333333333
2007-08-01,148.53333333333333
2007-09-01,148.66666666666666
2007-10-01,117.2
2007-11-01,133.33333333333334
2007-12-01,122.4
2008-01-01,127.46666666666668
2008-02-01,86.0
2008-03-01,158.13333333333333
2008-04-01,177.93333333333334
2008-05-01,192.26666666666668
2008-06-01,168.8
2008-07-01,186.26666666666668
2008-08-01,171.2
2008-09-01,144.86666666666667
2008-10-01,131.8
2008-11-01,122.2
2008-12-01,116.66666666666669
2009-01-01,145.60666666666663
2009-02-01,160.05333333333334
2009-03-01,164.02666666666667
2009-04-01,156.7533333333333
2009-05-01,179.86666666666667
2009-06-01,195.4933333333333
2009-07-01,170.60666666666668
2009-08-01,203.80666666666667
2009-09-01,144.54
2009-10-01,156.58666666666667
2009-11-01,148.13333333333333
2009-12-01,145.88
2010-01-01,128.49999999999997
2010-02-01,157.61999999999998
2010-03-01,161.2
2010-04-01,154.0933333333333
2010-05-01,196.18666666666664
2010-06-01,195.84
2010-07-01,188.98666666666668
2010-08-01,169.5533333333333
2010-09-01,154.50666666666666
2010-10-01,131.24
2010-11-01,115.2
2010-12-01,133.22
2011-01-01,65.80666666666666
2011-02-01,141.51333333333335
2011-03-01,95.53333333333332
2011-04-01,162.33333333333334
2011-05-01,200.20666666666668
2011-06-01,173.17333333333332
2011-07-01,195.0066666666667
2011-08-01,202.08
